Date,Patch,Blue_Team,Red_Team,Winner,Blue_Bans,Red_Bans,Blue_Picks,Red_Picks,Blue_Roster,Red_Roster,Series_ID
2025-10-17,25.20,CTBC Flying Oyster,Anyone's Legend,Anyone's Legend,"['Poppy', 'Bard', ""Kai'Sa"", 'Sivir', 'Jayce']","['Azir', 'Qiyana', 'Caitlyn', 'Rakan', 'Draven']","['Renekton', 'Vi', 'Taliyah', 'Miss Fortune', 'Nautilus']","[""Rek'Sai"", 'Trundle', 'LeBlanc', 'Jhin', 'Alistar']","Rest,JunJia,HongQ,Doggo,Kaiwing","Flandre,Tarzan,Shanks,Hope,Kael",23
2025-10-17,25.20,Anyone's Legend,CTBC Flying Oyster,Anyone's Legend,"['Caitlyn', 'Draven', 'Azir', 'Alistar', 'Sivir']","['Poppy', ""Kai'Sa"", 'Qiyana', 'Galio', 'Ornn']","['Ambessa', 'Xin Zhao', 'Orianna', 'Ziggs', 'Leona']","['Rumble', 'Pantheon', 'Akali', 'Lucian', 'Braum']","Flandre,Tarzan,Shanks,Hope,Kael","Rest,JunJia,HongQ,Doggo,Kaiwing",23
2025-10-17,25.20,CTBC Flying Oyster,Anyone's Legend,CTBC Flying Oyster,"['Poppy', ""Kai'Sa"", 'Pantheon', 'Xin Zhao', 'Trundle']","['Orianna', 'Azir', 'Qiyana', 'Leona', 'Rakan']","['Sion', 'Wukong', 'Aurora', 'Corki', 'Nami']","['Kled', 'Maokai', 'Ryze', 'Yunara', 'Neeko']","Rest,JunJia,HongQ,Doggo,Kaiwing","Flandre,Tarzan,Shanks,Hope,Kael",23
2025-10-17,25.20,Top Esports,KT Rolster,KT Rolster,"['Vi', 'Azir', 'Poppy', 'Sivir', 'Sion']","['Qiyana', 'Yunara', 'Orianna', 'Xin Zhao', 'Pantheon']","[""K'Sante"", 'Zed', 'Ryze', 'Xayah', 'Rakan']","['Renekton', 'Trundle', 'Cassiopeia', 'Ezreal', 'Alistar']","369,Kanavi,Creme,JackeyLove,Hang","PerfecT,Cuzz,Bdd,deokdam,Peter",24
2025-10-17,25.20,KT Rolster,Top Esports,KT Rolster,"['Qiyana', 'Yunara', 'Vi', 'Ornn', 'Sion']","['Orianna', 'Azir', 'Ryze', 'Rakan', 'Alistar']","['Rumble', 'Wukong', 'Aurora', 'Corki', 'Nautilus']","['Ambessa', 'Jarvan IV', 'Annie', ""Kai'Sa"", 'Neeko']","PerfecT,Cuzz,Bdd,deokdam,Peter","369,Kanavi,Creme,JackeyLove,Hang",24
2025-10-16,25.20,Hanwha Life Esports,PSG Talon,Hanwha Life Esports,"['Poppy', 'Yunara', 'Ryze', 'Alistar', 'Neeko']","['Azir', 'Wukong', 'Orianna', ""Kai'Sa"", 'Leona']","['Ambessa', 'Vi', 'Aurora', 'Ezreal', 'Bard']","['Yorick', 'Naafiri', 'Taliyah', 'Caitlyn', 'Karma']","Zeus,Peanut,Zeka,Viper,Delight","Azhi,Karsa,Maple,Betty,Woody",25
2025-10-16,25.20,Bilibili Gaming,Fnatic,Bilibili Gaming,"['Wukong', 'Neeko', 'Azir', 'Rumble', 'Sion']","['Jarvan IV', 'Yunara', 'Qiyana', 'Nocturne', 'Xin Zhao']","['Renekton', 'Naafiri', 'Orianna', 'Xayah', 'Rakan']","['Poppy', 'Vi', 'Aurora', 'Caitlyn', 'Morgana']","Bin,Shad0w,Knight,Elk,ON","Oscarinin,Razork,Poby,Upset,Mikyx",26
2025-10-16,25.20,Gen.G,Anyone's Legend,Anyone's Legend,"['Neeko', 'Cassiopeia', 'Yunara', 'Rumble', 'Sion']","['Azir', 'Orianna', 'Wukong', 'Leona', 'Rakan']","[""K'Sante"", 'Xin Zhao', 'Ryze', ""Kai'Sa"", 'Alistar']","[""Rek'Sai"", 'Qiyana', 'Taliyah', 'Corki', 'Poppy']","Kiin,Canyon,Chovy,Ruler,Duro","Flandre,Tarzan,Shanks,Hope,Kael",27
2025-10-16,25.20,CTBC Flying Oyster,T1,CTBC Flying Oyster,"['Bard', 'Jarvan IV', 'Wukong', 'Taliyah', 'Ambessa']","['Yunara', 'Azir', 'Orianna', 'Karma', 'Leona']","['Sion', 'Qiyana', 'Ryze', 'Draven', 'Alistar']","[""Rek'Sai"", 'Vi', 'Cassiopeia', 'Caitlyn', 'Neeko']","Driver,JunJia,HongQ,Doggo,Kaiwing","Doran,Oner,Faker,Gumayusi,Keria",28
2025-10-16,25.20,Top Esports,100 Thieves,Top Esports,"['Aurora', 'Wukong', 'Poppy', 'Galio', 'Alistar']","['Neeko', 'Orianna', 'Annie', 'Lulu', 'Renata Glasc']","['Sion', 'Qiyana', 'Ryze', 'Yunara', 'Leona']","['Ambessa', 'Vi', 'Taliyah', ""Kai'Sa"", 'Rakan']","369,Kanavi,Creme,JackeyLove,Hang","Dhokla,River,Quid,FBI,Eyla",29
2025-10-16,25.20,Movistar KOI,G2 Esports,G2 Esports,"['Poppy', 'Maokai', 'Azir', 'Braum', 'Lulu']","['Ambessa', 'Sion', 'Orianna', 'Yorick', 'Neeko']","['Jax', 'Wukong', 'Taliyah', 'Caitlyn', 'Alistar']","[""K'Sante"", 'Xin Zhao', 'LeBlanc', 'Yunara', 'Bard']","Myrwn,Elyoya,Jojopyun,Supa,Alvaro","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov",30
2025-10-16,25.20,KT Rolster,Team Secret Whales,KT Rolster,"['Vi', 'Yunara', 'Aurora', 'Annie', 'Jhin']","['Azir', 'Ryze', 'Wukong', 'Xin Zhao', 'Sion']","['Ornn', 'Trundle', 'Orianna', 'Caitlyn', 'Neeko']","['Rumble', 'Jarvan IV', 'Galio', 'Ezreal', 'Bard']","PerfecT,Cuzz,Bdd,deokdam,Peter","Hiro02,Hizto,Dire,Eddie,Taki",31
2025-10-16,25.20,Vivo Keyd Stars,FlyQuest,FlyQuest,"['Azir', 'Bard', 'Ambessa', 'Annie', 'Ryze']","['Neeko', 'Aurora', 'Akali', 'Poppy', 'Rakan']","['Sion', 'Jarvan IV', 'Orianna', ""Kai'Sa"", 'Nautilus']","['Mordekaiser', 'Wukong', 'Viktor', 'Yunara', 'Alistar']","Boal,Disamis,Mireu,Morttheus,Trymbi","Bwipo,Inspired,Quad,Massu,Busio",32
2025-10-15,25.20,Gen.G,PSG Talon,Gen.G,"['Yunara', 'Renekton', 'Ryze', 'Poppy', 'Alistar']","['Azir', 'Xin Zhao', 'Orianna', 'Rakan', 'Neeko']","['Ambessa', 'Wukong', 'Galio', 'Lucian', 'Braum']","['Rumble', 'Vi', 'Swain', 'Sivir', 'Rell']","Kiin,Canyon,Chovy,Ruler,Duro","Azhi,Karsa,Maple,Betty,Woody",33
2025-10-15,25.20,G2 Esports,Top Esports,Top Esports,"['Ambessa', 'Neeko', 'Jarvan IV', 'Rumble', 'Renata Glasc']","['Poppy', 'Alistar', 'Taliyah', 'Wukong', 'Akali']","['Sion', 'Xin Zhao', 'Azir', 'Xayah', 'Rakan']","['Aatrox', 'Trundle', 'Orianna', 'Yunara', 'Karma']","BrokenBlade,SkewMond,Caps,Hans Sama,Labrov","369,Kanavi,Creme,JackeyLove,Hang",34
2025-10-15,25.20,Hanwha Life Esports,Anyone's Legend,Anyone's Legend,"['Qiyana', 'Sion', 'Wukong', 'Xin Zhao', 'Vi']","['Azir', 'Orianna', 'Aurora', 'Leona', 'Ambessa']","[""K'Sante"", 'Jarvan IV', 'Ryze', ""Kai'Sa"", 'Alistar']","[""Rek'Sai"", 'Pantheon', 'Cassiopeia', 'Yunara', 'Neeko']","Zeus,Peanut,Zeka,Viper,Delight","Flandre,Tarzan,Shanks,Hope,Kael",35
2025-10-15,25.20,FlyQuest,T1,T1,"['Ambessa', 'Vi', 'Caitlyn', 'Aurora', 'Annie']","['Yunara', 'Azir', 'Orianna', 'Rumble', 'Renekton']","['Mordekaiser', 'Jarvan IV', 'Ryze', ""Kai'Sa"", 'Neeko']","[""K'Sante"", 'Wukong', 'Taliyah', 'Xayah', 'Bard']","Bwipo,Inspired,Quad,Massu,Busio","Doran,Oner,Faker,Gumayusi,Keria",36
2025-10-15,25.20,Bilibili Gaming,100 Thieves,100 Thieves,"['Poppy', 'Yunara', 'Lee Sin', 'Karma', 'Corki']","['Qiyana', 'Neeko', 'Orianna', 'Ambessa', 'Ryze']","[""Rek'Sai"", 'Jarvan IV', 'Taliyah', 'Caitlyn', 'Elise']","['Sion', 'Xin Zhao', 'Aurora', 'Ziggs', 'Rell']","Bin,Beichuan,Knight,Elk,ON","Dhokla,River,Quid,FBI,Eyla",37
2025-10-15,25.20,KT Rolster,Movistar KOI,KT Rolster,"['Ambessa', 'Vi', 'Qiyana', 'Neeko', 'Alistar']","['Azir', 'Wukong', 'Ryze', 'Poppy', 'Rakan']","['Rumble', 'Xin Zhao', 'Orianna', 'Caitlyn', 'Braum']","[""K'Sante"", 'Jarvan IV', 'Galio', 'Yunara', 'Lulu']","PerfecT,Cuzz,Bdd,deokdam,Peter","Myrwn,Elyoya,Jojopyun,Supa,Alvaro",38
2025-10-15,25.20,CTBC Flying Oyster,Fnatic,CTBC Flying Oyster,"[""Kai'Sa"", 'Ambessa', 'Orianna', 'Poppy', ""Rek'Sai""]","['Yunara', 'Azir', 'Qiyana', 'Sivir', 'Corki']","['Sion', 'Xin Zhao', 'Ryze', 'Caitlyn', 'Neeko']","[""K'Sante"", 'Vi', 'Taliyah', 'Ezreal', 'Nautilus']","Driver,JunJia,HongQ,Doggo,Kaiwing","Oscarinin,Razork,Poby,Upset,Mikyx",39
2025-10-15,25.20,Team Secret Whales,Vivo Keyd Stars,Team Secret Whales,"['Neeko', 'LeBlanc', 'Orianna', 'Xayah', 'Sivir']","['Qiyana', 'Rumble', 'Poppy', 'Nautilus', 'Alistar']","['Renekton', 'Vi', 'Aurora', ""Kai'Sa"", 'Rell']","[""K'Sante"", 'Jarvan IV', 'Ryze', 'Yunara', 'Rakan']","Hiro02,Hizto,Dire,Eddie,Taki","Boal,Disamis,Mireu,Morttheus,Trymbi",40
